no,geneIDs,a-cells,a donor,no,geneIDs,b-cells,b donor,no,geneIDs,g-cells,g donor,no,geneIDs,d-cells,d donor,no,geneIDs,acinar cell type,acinar donor,no,geneIDs,ductal cell type,ductal donor,all cells
,,,,,,,,,,,,,,,,,,,,,,,,0.4
,,,,,,,,,,,,,,,,,,,,,,,,0.537
,,,,,,,,,,,,,,,,,,,,,,,,0.454
,,,,,,,,,,,,,,,,,,,,,,,,0.264
,,,,,,,,,,,,,,,,,,,,,,,,0.507
,,,,,,,,,,,,,,,,,,,,,,,,0.386
,,,,,,,,,,,,,,,,,,,,,,,,0.499
,,,,,,,,,,,,,,,,,,,,,,,,0.409
,,,,,,,,,,,,,,,,,,,,,,,,0.483
,,,,,,,,,,,,,,,,,,,,,,,,0.362
,,,,,,,,,,,,,,,,,,,,,,,,0.472
,,,,,,,,,,,,,,,,,,,,,,,,0.37
,,,,,,,,,,,,,,,,,,,,,,,,0.439
,,,,,,,,,,,,,,,,,,,,,,,,0.476
,,,,,,,,,,,,,,,,,,,,,,,,0.498
,,,,,,,,,,,,,,,,,,,,,,,,0.352
,,,,,,,,,,,,,,,,,,,,,,,,0.468
,,,,,,,,,,,,,,,,,,,,,,,,0.526
,,,,,,,,,,,,,,,,,,,,,,,,0.364
,,,,,,,,,,,,,,,,,,,,,,,,0.199
,,,,,,,,,,,,,,,,,,,,,,,,0.409
,,,,,,,,,,,,,,,,,,,,,,,,0.409
,,,,,,,,,,,,,,,,,,,,,,,,0.345
,,,,,,,,,,,,,,,,,,,,,,,,0.531
,,,,,,,,,,,,,,,,,,,,,,,,0.169
,,,,,,,,,,,,,,,,,,,,,,,,0.502
,,,,,,,,,,,,,,,,,,,,,,,,0.499
,,,,,,,,,,,,,,,,,,,,,,,,0.203
,,,,,,,,,,,,,,,,,,,,,,,,0.452
,,,,,,,,,,,,,,,,,,,,,,,,0.413
,,,,,,,,,,,,,,,,,,,,,,,,0.553
,,,,,,,,,,,,,,,,,,,,,,,,0.526
,,,,,,,,,,,,,,,,,,,,,,,,0.493
,,,,,,,,,,,,,,,,,,,,,,,,0.386
,,,,,,,,,,,,,,,,,,,,,,,,0.39
,,,,,,,,,,,,,,,,,,,,,,,,0.316
,,,,,,,,,,,,,,,,,,,,,,,,0.376
,,,,,,,,,,,,,,,,,,,,,,,,0.263
,,,,,,,,,,,,,,,,,,,,,,,,0.405
,,,,,,,,,,,,,,,,,,,,,,,,0.177
,,,,,,,,,,,,,,,,,,,,,,,,0.559
,,,,,,,,,,,,,,,,,,,,,,,,0.118
,,,,,,,,,,,,,,,,,,,,,,,,0.443
,,,,,,,,,,,,,,,,,,,,,,,,0.476
,,,,,,,,,,,,,,,,,,,,,,,,0.392
,,,,,,,,,,,,,,,,,,,,,,,,0.376
,,,,,,,,,,,,,,,,,,,,,,,,0.431
,,,,,,,,,,,,,,,,,,,,,,,,0.4
,,,,,,,,,,,,,,,,,,,,,,,,0.4
,,,,,,,,,,,,,,,,,,,,,,,,0.427
,,,,,,,,,,,,,,,,,,,,,,,,0.487
,,,,,,,,,,,,,,,,,,,,,,,,0.508
,,,,,,,,,,,,,,,,,,,,,,,,0.456
,,,,,,,,,,,,,,,,,,,,,,,,0.493
,,,,,,,,,,,,,,,,,,,,,,,,0.418
,,,,,,,,,,,,,,,,,,,,,,,,0.441
,,,,,,,,,,,,,,,,,,,,,,,,0.194
,,,,,,,,,,,,,,,,,,,,,,,,0.563
,,,,,,,,,,,,,,,,,,,,,,,,0.542
,,,,,,,,,,,,,,,,,,,,,,,,0.453
,,,,,,,,,,,,,,,,,,,,,,,,0.505
,,,,,,,,,,,,,,,,,,,,,,,,0.538
,,,,,,,,,,,,,,,,,,,,,,,,0.361
,,,,,,,,,,,,,,,,,,,,,,,,0.483
,,,,,,,,,,,,,,,,,,,,,,,,0.348
,,,,,,,,,,,,,,,,,,,,,,,,0.5
,,,,,,,,,,,,,,,,,,,,,,,,0.137
,,,,,,,,,,,,,,,,,,,,,,,,0.235
,,,,,,,,,,,,,,,,,,,,,,,,0.44
,,,,,,,,,,,,,,,,,,,,,,,,0.454
,,,,,,,,,,,,,,,,,,,,,,,,0.393
,,,,,,,,,,,,,,,,,,,,,,,,0.506
,,,,,,,,,,,,,,,,,,,,,,,,0.329
,,,,,,,,,,,,,,,,,,,,,,,,0.43
,,,,,,,,,,,,,,,,,,,,,,,,0.502
,,,,,,,,,,,,,,,,,,,,,,,,0.558
,,,,,,,,,,,,,,,,,,,,,,,,0.483
,,,,,,,,,,,,,,,,,,,,,,,,0.431
,,,,,,,,,,,,,,,,,,,,,,,,0.371
,,,,,,,,,,,,,,,,,,,,,,,,0.53
,,,,,,,,,,,,,,,,,,,,,,,,0.489
,,,,,,,,,,,,,,,,,,,,,,,,0.381
,,,,,,,,,,,,,,,,,,,,,,,,0.401
,,,,,,,,,,,,,,,,,,,,,,,,0.419
,,,,,,,,,,,,,,,,,,,,,,,,0.52
,,,,,,,,,,,,,,,,,,,,,,,,0.452
,,,,,,,,,,,,,,,,,,,,,,,,0.033
,,,,,,,,,,,,,,,,,,,,,,,,0.531
,,,,,,,,,,,,,,,,,,,,,,,,0.44
,,,,,,,,,,,,,,,,,,,,,,,,0.411
,,,,,,,,,,,,,,,,,,,,,,,,0.391
,,,,,,,,,,,,,,,,,,,,,,,,0.487
,,,,,,,,,,,,,,,,,,,,,,,,0.179
,,,,,,,,,,,,,,,,,,,,,,,,0.33
,,,,,,,,,,,,,,,,,,,,,,,,0.502
,,,,,,,,,,,,,,,,,,,,,,,,0.344
,,,,,,,,,,,,,,,,,,,,,,,,0.415
,,,,,,,,,,,,,,,,,,,,,,,,0.374
,,,,,,,,,,,,,,,,,,,,,,,,0.295
,,,,,,,,,,,,,,,,,,,,,,,,0.488
,,,,,,,,,,,,,,,,,,,,,,,,0.517
,,,,,,,,,,,,,,,,,,,,,,,,0.272
,,,,,,,,,,,,,,,,,,,,,,,,0.552
,,,,,,,,,,,,,,,,,,,,,,,,0.368
,,,,,,,,,,,,,,,,,,,,,,,,0.472
,,,,,,,,,,,,,,,,,,,,,,,,0.335
,,,,,,,,,,,,,,,,,,,,,,,,0.362
,,,,,,,,,,,,,,,,,,,,,,,,0.494
,,,,,,,,,,,,,,,,,,,,,,,,0.445
,,,,,,,,,,,,,,,,,,,,,,,,0.239
,,,,,,,,,,,,,,,,,,,,,,,,0.463
,,,,,,,,,,,,,,,,,,,,,,,,0.412
,,,,,,,,,,,,,,,,,,,,,,,,0.436
,,,,,,,,,,,,,,,,,,,,,,,,0.385
,,,,,,,,,,,,,,,,,,,,,,,,0.51
,,,,,,,,,,,,,,,,,,,,,,,,0.317
,,,,,,,,,,,,,,,,,,,,,,,,0.529
,,,,,,,,,,,,,,,,,,,,,,,,0.313
,,,,,,,,,,,,,,,,,,,,,,,,0.348
,,,,,,,,,,,,,,,,,,,,,,,,0.227
,,,,,,,,,,,,,,,,,,,,,,,,0.44
,,,,,,,,,,,,,,,,,,,,,,,,0.49
,,,,,,,,,,,,,,,,,,,,,,,,0.346
,,,,,,,,,,,,,,,,,,,,,,,,0.41
,,,,,,,,,,,,,,,,,,,,,,,,0.483
,,,,,,,,,,,,,,,,,,,,,,,,0.358
,,,,,,,,,,,,,,,,,,,,,,,,0.301
,,,,,,,,,,,,,,,,,,,,,,,,0.418
,,,,,,,,,,,,,,,,,,,,,,,,0.131
,,,,,,,,,,,,,,,,,,,,,,,,0.391
,,,,,,,,,,,,,,,,,,,,,,,,0.382
,,,,,,,,,,,,,,,,,,,,,,,,0.516
,,,,,,,,,,,,,,,,,,,,,,,,0.123
,,,,,,,,,,,,,,,,,,,,,,,,0.355
,,,,,,,,,,,,,,,,,,,,,,,,0.419
,,,,,,,,,,,,,,,,,,,,,,,,0.337
,,,,,,,,,,,,,,,,,,,,,,,,0.43
,,,,,,,,,,,,,,,,,,,,,,,,0.387
,,,,,,,,,,,,,,,,,,,,,,,,0.295
,,,,,,,,,,,,,,,,,,,,,,,,0.444
,,,,,,,,,,,,,,,,,,,,,,,,0.44
,,,,,,,,,,,,,,,,,,,,,,,,0.428
,,,,,,,,,,,,,,,,,,,,,,,,-0.315
,,,,,,,,,,,,,,,,,,,,,,,,-0.321
,,,,,,,,,,,,,,,,,,,,,,,,-0.357
,,,,,,,,,,,,,,,,,,,,,,,,-0.363
,,,,,,,,,,,,,,,,,,,,,,,,-0.245
,,,,,,,,,,,,,,,,,,,,,,,,-0.337
,,,,,,,,,,,,,,,,,,,,,,,,-0.231
,,,,,,,,,,,,,,,,,,,,,,,,-0.56
,,,,,,,,,,,,,,,,,,,,,,,,-0.294
,,,,,,,,,,,,,,,,,,,,,,,,-0.575
,,,,,,,,,,,,,,,,,,,,,,,,-0.279
,,,,,,,,,,,,,,,,,,,,,,,,-0.116
,,,,,,,,,,,,,,,,,,,,,,,,-0.35
,,,,,,,,,,,,,,,,,,,,,,,,-0.517
,,,,,,,,,,,,,,,,,,,,,,,,-0.489
,,,,,,,,,,,,,,,,,,,,,,,,-0.256
,,,,,,,,,,,,,,,,,,,,,,,,-0.556
,,,,,,,,,,,,,,,,,,,,,,,,-0.364
,,,,,,,,,,,,,,,,,,,,,,,,-0.553
,,,,,,,,,,,,,,,,,,,,,,,,-0.474
,,,,,,,,,,,,,,,,,,,,,,,,-0.226
,,,,,,,,,,,,,,,,,,,,,,,,-0.536
,,,,,,,,,,,,,,,,,,,,,,,,-0.033
,,,,,,,,,,,,,,,,,,,,,,,,-0.389
,,,,,,,,,,,,,,,,,,,,,,,,-0.364
,,,,,,,,,,,,,,,,,,,,,,,,-0.366
,,,,,,,,,,,,,,,,,,,,,,,,-0.399
,,,,,,,,,,,,,,,,,,,,,,,,-0.524
,,,,,,,,,,,,,,,,,,,,,,,,-0.43
,,,,,,,,,,,,,,,,,,,,,,,,-0.605
,,,,,,,,,,,,,,,,,,,,,,,,-0.284
