geneIDs	a_cell	a_donor	geneIDs	b_cell	b_donor	geneIDs	g_cell	g_donor	geneIDs	d_cell	d_donor	geneIDs	acinar_cell	acinar_donor	geneIDs	ductal_cell	ductal_donor	rank	geneIDs	correlation	p-value	adj p-value	RefSeq	RPKM
																		3671	'GPHN'	0.27	1.03E-15	5.46E-14		
																		3672	'LOC389906'	0.27	1.04E-15	5.47E-14		
																		3673	'C19orf47'	0.27	1.04E-15	5.47E-14		
																		3674	'TOMM70A'	0.27	1.04E-15	5.49E-14		
																		3675	'PTPN4'	0.27	1.04E-15	5.50E-14		
																		3676	'ZNF764'	0.27	1.05E-15	5.52E-14		
																		3677	'SLC4A7'	0.27	1.06E-15	5.58E-14		
																		3678	'TMEM180'	0.27	1.08E-15	5.70E-14		
																		3679	'KDM7A'	0.27	1.08E-15	5.71E-14		
																		3680	'NSUN7'	0.27	1.09E-15	5.74E-14		
																		3681	'PDE8B'	0.27	1.09E-15	5.76E-14		
																		3682	'GNG10'	0.27	1.12E-15	5.90E-14		
																		3683	'DENND5A'	0.27	1.13E-15	5.95E-14		
																		3684	'ZNF639'	0.27	1.14E-15	6.02E-14		
																		3685	'GTF2E2'	0.27	1.16E-15	6.11E-14		
																		3686	'MYT1'	0.27	1.17E-15	6.16E-14		
																		3687	'PTPDC1'	0.27	1.17E-15	6.17E-14		
																		3688	'C1QTNF4'	0.27	1.17E-15	6.17E-14		
																		3689	'ABCF3'	0.27	1.18E-15	6.20E-14		
																		3690	'ERC1'	0.27	1.19E-15	6.23E-14		
																		3691	'OSBPL10'	0.27	1.22E-15	6.40E-14		
																		3692	'SCAF4'	0.27	1.23E-15	6.45E-14		
																		3693	'FAXC'	0.27	1.25E-15	6.58E-14		
																		3694	'AP3M1'	0.27	1.26E-15	6.60E-14		
																		3695	'KIAA0319'	0.27	1.26E-15	6.63E-14		
																		3696	'PTPRT'	0.27	1.27E-15	6.67E-14		
																		3697	'DGCR5'	0.27	1.29E-15	6.75E-14		
																		3698	'SEMA4C'	0.27	1.29E-15	6.76E-14		
																		3699	'HAX1'	0.27	1.29E-15	6.77E-14		
																		3700	'KIAA1429'	0.27	1.30E-15	6.79E-14		
																		3701	'RWDD2A'	0.27	1.32E-15	6.90E-14		
																		3702	'TUFT1'	0.27	1.32E-15	6.93E-14		
																		3703	'TTC39A'	0.27	1.33E-15	6.97E-14		
																		3704	'SIK3'	0.27	1.35E-15	7.04E-14		
																		3705	'CAMK2G'	0.27	1.35E-15	7.05E-14		
																		3706	'NOLC1'	0.27	1.35E-15	7.08E-14		
																		3707	'VARS2'	0.27	1.36E-15	7.11E-14		
																		3708	'RCC2'	0.27	1.37E-15	7.14E-14		
																		3709	'TTC14'	0.27	1.39E-15	7.29E-14		
																		3710	'ZFP36L2'	0.27	1.40E-15	7.29E-14		
																		3711	'OSBP2'	0.27	1.40E-15	7.32E-14		
																		3712	'ZNF826P'	0.27	1.40E-15	7.33E-14		
																		3713	'TMEM216'	0.27	1.42E-15	7.41E-14		
																		3714	'TBC1D1'	0.27	1.44E-15	7.51E-14		
																		3715	'LMTK2'	0.27	1.45E-15	7.57E-14		
																		3716	'ANKRD39'	0.27	1.45E-15	7.57E-14		
																		3717	'ZEB1-AS1'	0.27	1.45E-15	7.58E-14		
																		3718	'SETDB1'	0.27	1.48E-15	7.72E-14		
																		3719	'ZGPAT'	0.27	1.48E-15	7.72E-14		
																		3720	'MAP10'	0.27	1.48E-15	7.72E-14		
																		3721	'UVRAG'	0.27	1.48E-15	7.73E-14		
																		3722	'HECW2'	0.27	1.48E-15	7.73E-14		
																		3723	'TMEM56'	0.27	1.49E-15	7.78E-14		
																		3724	'C1orf216'	0.27	1.50E-15	7.81E-14		
																		3725	'PHF12'	0.27	1.50E-15	7.82E-14		
																		3726	'ERN1'	0.27	1.51E-15	7.84E-14		
																		3727	'TCERG1L'	0.27	1.51E-15	7.84E-14		
																		3728	'RAB11FIP1'	0.27	1.53E-15	7.94E-14		
																		3729	'SH3BP2'	0.27	1.54E-15	8.00E-14		
																		3730	'XPO5'	0.27	1.54E-15	8.02E-14		
																		3731	'SMAP1'	0.27	1.55E-15	8.05E-14		
																		3732	'ALDOC'	0.27	1.56E-15	8.08E-14		
																		3733	'RRP9'	0.27	1.61E-15	8.37E-14		
																		3734	'POLD2'	0.27	1.62E-15	8.40E-14		
																		3735	'SUPV3L1'	0.27	1.62E-15	8.42E-14		
																		3736	'CDYL'	0.27	1.63E-15	8.47E-14		
																		3737	'DAXX'	0.27	1.64E-15	8.49E-14		
																		3738	'ASB13'	0.27	1.65E-15	8.53E-14		
																		3739	'PDF'	0.27	1.66E-15	8.62E-14		
																		3740	'MSANTD4'	0.27	1.67E-15	8.63E-14		
																		3741	'SLC46A1'	0.27	1.69E-15	8.78E-14		
																		3742	'RPS4Y1'	0.27	1.70E-15	8.83E-14		
																		3743	'GBE1'	0.27	1.71E-15	8.84E-14		
																		3744	'FAM89A'	0.27	1.72E-15	8.91E-14		
																		3745	'LTBP4'	0.27	1.76E-15	9.11E-14		
																		3746	'SLC45A1'	0.27	1.78E-15	9.19E-14		
																		3747	'PHKB'	0.27	1.79E-15	9.23E-14		
																		3748	'TNK2'	0.27	1.80E-15	9.30E-14		
																		3749	'DGKE'	0.27	1.81E-15	9.37E-14		
																		3750	'STXBP1'	0.27	1.82E-15	9.39E-14		
																		3751	'ABHD15'	0.27	1.83E-15	9.47E-14		
																		3752	'C16orf95'	0.27	1.83E-15	9.47E-14		
																		3753	'COMMD5'	0.27	1.87E-15	9.63E-14		
																		3754	'EPOR'	0.27	1.88E-15	9.70E-14		
																		3755	'CARKD'	0.27	1.88E-15	9.70E-14		
																		3756	'FOXK1'	0.27	1.88E-15	9.70E-14		
																		3757	'SNX27'	0.27	1.93E-15	9.97E-14		
																		3758	'TACO1'	0.27	1.95E-15	1.00E-13		
																		3759	'PPP2R5E'	0.27	1.95E-15	1.01E-13		
																		3760	'ELF4'	0.27	1.98E-15	1.02E-13		
																		3761	'CSNK2B'	0.27	1.98E-15	1.02E-13		
																		3762	'AKIRIN1'	0.27	1.98E-15	1.02E-13		
																		3763	'TRIM56'	0.27	1.99E-15	1.03E-13		
																		3764	'ZNF135'	0.27	1.99E-15	1.03E-13		
																		3765	'APOBEC3F'	0.27	2.04E-15	1.05E-13		
																		3766	'DBNDD2'	0.27	2.05E-15	1.05E-13		
																		3767	'HIST1H2AC'	0.27	2.07E-15	1.06E-13		
																		3768	'USP54'	0.27	2.10E-15	1.08E-13		
																		3769	'CAB39L'	0.27	2.13E-15	1.10E-13		
																		3770	'LDLRAD3'	0.27	2.14E-15	1.10E-13		
																		3771	'NDE1'	0.27	2.15E-15	1.10E-13		
																		3772	'PATZ1'	0.27	2.16E-15	1.11E-13		
																		3773	'RCC1'	0.27	2.17E-15	1.12E-13		
																		3774	'YPEL2'	0.27	2.19E-15	1.12E-13		
																		3775	'EFTUD2'	0.27	2.28E-15	1.17E-13		
																		3776	'XPC'	0.27	2.31E-15	1.19E-13		
																		3777	'SERTAD3'	0.27	2.33E-15	1.19E-13		
																		3778	'STX4'	0.27	2.33E-15	1.20E-13		
																		3779	'PAXIP1-AS1'	0.27	2.34E-15	1.20E-13		
																		3780	'GATC'	0.27	2.38E-15	1.22E-13		
																		3781	'UBR1'	0.27	2.40E-15	1.23E-13		
																		3782	'RASAL2'	0.27	2.40E-15	1.23E-13		
																		3783	'LIG3'	0.27	2.44E-15	1.25E-13		
																		3784	'CDK20'	0.27	2.45E-15	1.25E-13		
																		3785	'ABHD17B'	0.27	2.45E-15	1.26E-13		
																		3786	'PSMD8'	0.27	2.46E-15	1.26E-13		
																		3787	'DLEU1'	0.26	2.47E-15	1.26E-13		
																		3788	'COL27A1'	0.26	2.50E-15	1.28E-13		
																		3789	'FDX1'	0.26	2.51E-15	1.28E-13		
																		3790	'ITFG2'	0.26	2.52E-15	1.29E-13		
																		3791	'PLA2G12A'	0.26	2.54E-15	1.30E-13		
																		3792	'RBM23'	0.26	2.55E-15	1.31E-13		
																		3793	'RBFA'	0.26	2.56E-15	1.31E-13		
																		3794	'GNAZ'	0.26	2.56E-15	1.31E-13		
																		3795	'POLB'	0.26	2.58E-15	1.32E-13		
																		3796	'IFT88'	0.26	2.58E-15	1.32E-13		
																		3797	'PIGG'	0.26	2.59E-15	1.32E-13		
																		3798	'ZNF789'	0.26	2.60E-15	1.33E-13		
																		3799	'KLHL5'	0.26	2.63E-15	1.34E-13		
																		3800	'PTRH1'	0.26	2.65E-15	1.35E-13		
																		3801	'FOXJ3'	0.26	2.68E-15	1.36E-13		
																		3802	'ERGIC3'	0.26	2.68E-15	1.36E-13		
																		3803	'CACNB3'	0.26	2.76E-15	1.41E-13		
																		3804	'PCDHGC3'	0.26	2.77E-15	1.41E-13		
																		3805	'OPRD1'	0.26	2.81E-15	1.43E-13		
																		3806	'KCNC1'	0.26	2.82E-15	1.43E-13		
																		3807	'SEPW1'	0.26	2.83E-15	1.44E-13		
																		3808	'CINP'	0.26	2.84E-15	1.45E-13		
																		3809	'NR1H3'	0.26	2.86E-15	1.46E-13		
																		3810	'GLTSCR1'	0.26	2.88E-15	1.47E-13		
																		3811	'MRPS27'	0.26	2.90E-15	1.47E-13		
																		3812	'NBPF1'	0.26	2.95E-15	1.50E-13		
																		3813	'SIRPA'	0.26	2.96E-15	1.50E-13		
																		3814	'SURF2'	0.26	3.04E-15	1.54E-13		
																		3815	'NDUFV1'	0.26	3.08E-15	1.56E-13		
																		3816	'SYNDIG1'	0.26	3.08E-15	1.57E-13		
																		3817	'ANKRD16'	0.26	3.12E-15	1.58E-13		
																		3818	'BZRAP1'	0.26	3.20E-15	1.63E-13		
																		3819	'TTYH3'	0.26	3.23E-15	1.64E-13		
																		3820	'NUP54'	0.26	3.23E-15	1.64E-13		
																		3821	'CABIN1'	0.26	3.25E-15	1.65E-13		
																		3822	'C3orf33'	0.26	3.27E-15	1.66E-13		
																		3823	'NAT6'	0.26	3.28E-15	1.66E-13		
																		3824	'MCF2L2'	0.26	3.28E-15	1.66E-13		
																		3825	'PROSC'	0.26	3.29E-15	1.67E-13		
																		3826	'ICMT'	0.26	3.31E-15	1.68E-13		
																		3827	'KLF11'	0.26	3.35E-15	1.70E-13		
																		3828	'SUPT20H'	0.26	3.41E-15	1.72E-13		
																		3829	'HARS2'	0.26	3.46E-15	1.75E-13		
																		3830	'LRRC37BP1'	0.26	3.47E-15	1.75E-13		
																		3831	'BCKDHA'	0.26	3.48E-15	1.76E-13		
																		3832	'RFT1'	0.26	3.51E-15	1.77E-13		
																		3833	'SLIT1'	0.26	3.53E-15	1.78E-13		
																		3834	'DET1'	0.26	3.54E-15	1.79E-13		
																		3835	'SEPT10'	0.26	3.55E-15	1.79E-13		
																		3836	'GRB7'	0.26	3.70E-15	1.87E-13		
																		3837	'VAMP1'	0.26	3.71E-15	1.87E-13		
																		3838	'MICU1'	0.26	3.71E-15	1.87E-13		
																		3839	'RRAS2'	0.26	3.73E-15	1.88E-13		
																		3840	'NFX1'	0.26	3.74E-15	1.88E-13		
																		3841	'U2AF1L4'	0.26	3.75E-15	1.89E-13		
																		3842	'PAOX'	0.26	3.75E-15	1.89E-13		
																		3843	'DYNC1I1'	0.26	3.79E-15	1.91E-13		
																		3844	'ZNF511'	0.26	3.83E-15	1.93E-13		
																		3845	'PLEKHH1'	0.26	3.84E-15	1.94E-13		
																		3846	'CHD7'	0.26	3.87E-15	1.95E-13		
																		3847	'FEM1B'	0.26	3.90E-15	1.96E-13		
																		3848	'C5orf24'	0.26	3.90E-15	1.96E-13		
																		3849	'SLC48A1'	0.26	4.02E-15	2.02E-13		
																		3850	'ADAT3'	0.26	4.05E-15	2.04E-13		
																		3851	'MYRF'	0.26	4.15E-15	2.09E-13		
																		3852	'TCEAL5'	0.26	4.16E-15	2.09E-13		
																		3853	'PRKAB1'	0.26	4.17E-15	2.09E-13		
																		3854	'APOPT1'	0.26	4.18E-15	2.10E-13		
																		3855	'KCND3'	0.26	4.20E-15	2.11E-13		
																		3856	'TTTY14'	0.26	4.25E-15	2.14E-13		
																		3857	'RNF20'	0.26	4.30E-15	2.16E-13		
																		3858	'STAG3L5P-PVRIG2P-PILRB'	0.26	4.38E-15	2.20E-13		
																		3859	'KIF13B'	0.26	4.39E-15	2.20E-13		
																		3860	'DPH6'	0.26	4.46E-15	2.24E-13		
																		3861	'AGBL5'	0.26	4.50E-15	2.26E-13		
																		3862	'HN1'	0.26	4.51E-15	2.26E-13		
																		3863	'NNT-AS1'	0.26	4.51E-15	2.26E-13		
																		3864	'NAT10'	0.26	4.51E-15	2.26E-13		
																		3865	'KIAA0226'	0.26	4.52E-15	2.27E-13		
																		3866	'PLEKHG3'	0.26	4.52E-15	2.27E-13		
																		3867	'UNG'	0.26	4.53E-15	2.27E-13		
																		3868	'FGF14'	0.26	4.54E-15	2.27E-13		
																		3869	'RCOR1'	0.26	4.56E-15	2.28E-13		
																		3870	'PRKRIR'	0.26	4.57E-15	2.29E-13		
																		3871	'TRPC1'	0.26	4.61E-15	2.31E-13		
																		3872	'CMTR2'	0.26	4.61E-15	2.31E-13		
																		3873	'HMOX2'	0.26	4.61E-15	2.31E-13		
																		3874	'ACAD9'	0.26	4.64E-15	2.32E-13		
																		3875	'MTF1'	0.26	4.66E-15	2.33E-13		
																		3876	'C17orf85'	0.26	4.69E-15	2.34E-13		
																		3877	'ZC3HAV1L'	0.26	4.70E-15	2.35E-13		
																		3878	'ATG101'	0.26	4.71E-15	2.35E-13		
																		3879	'URB1'	0.26	4.72E-15	2.36E-13		
																		3880	'STK32A'	0.26	4.75E-15	2.37E-13		
																		3881	'INCENP'	0.26	4.76E-15	2.37E-13		
																		3882	'GADD45A'	0.26	4.88E-15	2.43E-13		
																		3883	'CDC73'	0.26	4.88E-15	2.44E-13		
																		3884	'PHF6'	0.26	4.91E-15	2.45E-13		
																		3885	'FEZ1'	0.26	4.93E-15	2.46E-13		
																		3886	'DNALI1'	0.26	5.05E-15	2.52E-13		
																		3887	'DMAP1'	0.26	5.17E-15	2.58E-13		
																		3888	'TSPAN14'	0.26	5.17E-15	2.58E-13		
																		3889	'RNF4'	0.26	5.18E-15	2.58E-13		
																		3890	'GID4'	0.26	5.20E-15	2.59E-13		
																		3891	'NACAD'	0.26	5.29E-15	2.63E-13		
																		3892	'CDK6'	0.26	5.34E-15	2.66E-13		
																		3893	'FAM13B'	0.26	5.43E-15	2.70E-13		
																		3894	'ULK1'	0.26	5.52E-15	2.74E-13		
																		3895	'IGIP'	0.26	5.59E-15	2.78E-13		
																		3896	'NXN'	0.26	5.61E-15	2.79E-13		
																		3897	'SMAD1'	0.26	5.72E-15	2.84E-13		
																		3898	'ASB16'	0.26	5.80E-15	2.88E-13		
																		3899	'SFXN3'	0.26	5.85E-15	2.90E-13		
																		3900	'HSBP1L1'	0.26	6.05E-15	3.01E-13		
																		3901	'LINC01315'	0.26	6.13E-15	3.04E-13		
																		3902	'GSAP'	0.26	6.19E-15	3.07E-13		
																		3903	'RGS19'	0.26	6.20E-15	3.08E-13		
																		3904	'CHAC1'	0.26	6.22E-15	3.09E-13		
																		3905	'CIAO1'	0.26	6.25E-15	3.10E-13		
																		3906	'IRF1'	0.26	6.27E-15	3.11E-13		
																		3907	'CLDN9'	0.26	6.29E-15	3.12E-13		
																		3908	'CHMP3'	0.26	6.31E-15	3.13E-13		
																		3909	'CDC40'	0.26	6.32E-15	3.13E-13		
																		3910	'LOC100506985'	0.26	6.36E-15	3.15E-13		
																		3911	'B4GALT4'	0.26	6.37E-15	3.15E-13		
																		3912	'TAF1B'	0.26	6.44E-15	3.19E-13		
																		3913	'OTUB1'	0.26	6.48E-15	3.21E-13		
																		3914	'MMGT1'	0.26	6.48E-15	3.21E-13		
																		3915	'WDFY1'	0.26	6.49E-15	3.21E-13		
																		3916	'PSMG4'	0.26	6.54E-15	3.24E-13		
																		3917	'ZNF653'	0.26	6.55E-15	3.24E-13		
																		3918	'RIIAD1'	0.26	6.56E-15	3.25E-13		
																		3919	'VPS9D1'	0.26	6.60E-15	3.26E-13		
																		3920	'CD72'	0.26	6.63E-15	3.27E-13		
																		3921	'C10orf76'	0.26	6.63E-15	3.28E-13		
																		3922	'HIGD2A'	0.26	6.64E-15	3.28E-13		
																		3923	'ZNF526'	0.26	6.65E-15	3.29E-13		
																		3924	'MAP2K5'	0.26	6.67E-15	3.29E-13		
																		3925	'PPP1R15B'	0.26	6.74E-15	3.33E-13		
																		3926	'GORASP1'	0.26	6.75E-15	3.33E-13		
																		3927	'SLC25A46'	0.26	7.04E-15	3.48E-13		
																		3928	'LOC100506469'	0.26	7.17E-15	3.53E-13		
																		3929	'SMCO4'	0.26	7.26E-15	3.58E-13		
																		3930	'LOC150776'	0.26	7.33E-15	3.62E-13		
																		3931	'LCA5'	0.26	7.36E-15	3.62E-13		
																		3932	'ATP6V0B'	0.26	7.40E-15	3.65E-13		
																		3933	'DYRK4'	0.26	7.52E-15	3.70E-13		
																		3934	'GOLM1'	0.26	7.55E-15	3.72E-13		
																		3935	'FBXO17'	0.26	7.57E-15	3.73E-13		
																		3936	'ZNF609'	0.26	7.58E-15	3.73E-13		
																		3937	'MRTO4'	0.26	7.59E-15	3.74E-13		
																		3938	'NMNAT2'	0.26	7.59E-15	3.74E-13		
																		3939	'EML2'	0.26	7.60E-15	3.74E-13		
																		3940	'UNC119B'	0.26	7.60E-15	3.74E-13		
																		3941	'DHRS12'	0.26	7.64E-15	3.75E-13		
																		3942	'KREMEN1'	0.26	7.73E-15	3.80E-13		
																		3943	'FAM229B'	0.26	7.77E-15	3.82E-13		
																		3944	'KLHL2'	0.26	7.83E-15	3.85E-13		
																		3945	'RNASEH2A'	0.26	7.90E-15	3.88E-13		
																		3946	'BCS1L'	0.26	8.02E-15	3.94E-13		
																		3947	'ATF7IP'	0.26	8.24E-15	4.04E-13		
																		3948	'GPR137B'	0.26	8.31E-15	4.08E-13		
																		3949	'TMEM121'	0.26	8.38E-15	4.11E-13		
																		3950	'MOCS3'	0.26	8.41E-15	4.12E-13		
																		3951	'ANKIB1'	0.26	8.50E-15	4.17E-13		
																		3952	'RPS14P3'	0.26	8.52E-15	4.18E-13		
																		3953	'XPNPEP3'	0.26	8.54E-15	4.18E-13		
																		3954	'CTBS'	0.26	8.54E-15	4.18E-13		
																		3955	'MTA2'	0.26	8.56E-15	4.19E-13		
																		3956	'TMEM86B'	0.26	8.61E-15	4.22E-13		
																		3957	'ZNF846'	0.26	8.61E-15	4.22E-13		
																		3958	'TIRAP'	0.26	8.72E-15	4.27E-13		
																		3959	'ZNF337'	0.26	8.75E-15	4.28E-13		
																		3960	'NINL'	0.26	8.88E-15	4.34E-13		
																		3961	'TIMM22'	0.26	8.93E-15	4.37E-13		
																		3962	'ARF3'	0.26	8.94E-15	4.37E-13		
																		3963	'ENTHD2'	0.26	8.96E-15	4.38E-13		
																		3964	'RAB3D'	0.26	9.01E-15	4.40E-13		
																		3965	'PHTF1'	0.26	9.02E-15	4.40E-13		
																		3966	'ICK'	0.26	9.06E-15	4.42E-13		
																		3967	'SSRP1'	0.26	9.11E-15	4.45E-13		
																		3968	'UTY'	0.26	9.13E-15	4.46E-13		
																		3969	'TBKBP1'	0.26	9.16E-15	4.47E-13		
																		3970	'PANK2'	0.26	9.17E-15	4.48E-13		
																		3971	'RASD1'	0.26	9.25E-15	4.51E-13		
																		3972	'SLC45A4'	0.26	9.29E-15	4.53E-13		
																		3973	'AAAS'	0.26	9.35E-15	4.56E-13		
																		3974	'FIZ1'	0.26	9.47E-15	4.62E-13		
																		3975	'ITPA'	0.26	9.52E-15	4.64E-13		
																		3976	'SETD1B'	0.26	9.71E-15	4.73E-13		
																		3977	'LOC100506548'	0.26	9.72E-15	4.74E-13		
																		3978	'CENPV'	0.26	9.82E-15	4.78E-13		
																		3979	'CACNG4'	0.26	9.86E-15	4.80E-13		
																		3980	'LACTB'	0.26	9.92E-15	4.82E-13		
																		3981	'UBAP2L'	0.26	9.95E-15	4.84E-13		
																		3982	'DENND4B'	0.26	9.95E-15	4.84E-13		
																		3983	'ALS2'	0.26	9.99E-15	4.85E-13		
																		3984	'WWC1'	0.26	1.02E-14	4.94E-13		
																		3985	'AAR2'	0.26	1.03E-14	5.00E-13		
																		3986	'UBE2G2'	0.26	1.05E-14	5.08E-13		
																		3987	'BTBD9'	0.26	1.05E-14	5.08E-13		
																		3988	'HMGN4'	0.26	1.05E-14	5.09E-13		
																		3989	'MST1L'	0.26	1.06E-14	5.15E-13		
																		3990	'SMPDL3A'	0.26	1.09E-14	5.30E-13		
																		3991	'KIAA1671'	0.26	1.09E-14	5.30E-13		
																		3992	'DCLK2'	0.26	1.10E-14	5.33E-13		
																		3993	'NAPRT1'	0.26	1.10E-14	5.33E-13		
																		3994	'HIATL2'	0.26	1.10E-14	5.35E-13		
																		3995	'GGACT'	0.26	1.12E-14	5.44E-13		
																		3996	'TRIOBP'	0.26	1.13E-14	5.46E-13		
																		3997	'WDR60'	0.26	1.13E-14	5.46E-13		
																		3998	'ZSCAN9'	0.26	1.14E-14	5.51E-13		
																		3999	'PPM1D'	0.26	1.14E-14	5.52E-13		
																		4000	'ELP5'	0.26	1.16E-14	5.59E-13		
																		4001	'TMEM53'	0.26	1.16E-14	5.61E-13		
																		4002	'SNX18'	0.26	1.16E-14	5.62E-13		
																		4003	'METTL2A'	0.26	1.17E-14	5.65E-13		
																		4004	'LINC01370'	0.26	1.18E-14	5.71E-13		
																		4005	'ZZEF1'	0.26	1.19E-14	5.75E-13		
																		4006	'NAT8L'	0.26	1.19E-14	5.75E-13		
																		4007	'C11orf30'	0.26	1.20E-14	5.79E-13		
																		4008	'RIMKLA'	0.26	1.22E-14	5.90E-13		
																		4009	'GUSB'	0.26	1.23E-14	5.93E-13		
																		4010	'SUFU'	0.26	1.24E-14	5.98E-13		
																		4011	'TBC1D8'	0.26	1.25E-14	6.02E-13		
																		4012	'DPF2'	0.26	1.26E-14	6.06E-13		
																		4013	'ITSN1'	0.26	1.27E-14	6.11E-13		
																		4014	'TRIB1'	0.26	1.27E-14	6.12E-13		
																		4015	'CNTROB'	0.26	1.28E-14	6.17E-13		
																		4016	'DYRK1A'	0.26	1.31E-14	6.31E-13		
																		4017	'MAGI3'	0.26	1.31E-14	6.31E-13		
																		4018	'AKT1'	0.26	1.31E-14	6.32E-13		
																		4019	'ZNF721'	0.26	1.32E-14	6.34E-13		
																		4020	'SPR'	0.26	1.34E-14	6.44E-13		
																		4021	'LRCH3'	0.26	1.36E-14	6.53E-13		
																		4022	'CTPS2'	0.26	1.36E-14	6.56E-13		
																		4023	'ELMOD3'	0.26	1.36E-14	6.56E-13		
																		4024	'MYO19'	0.26	1.37E-14	6.59E-13		
																		4025	'GABBR1'	0.26	1.37E-14	6.61E-13		
																		4026	'TBL1Y'	0.26	1.37E-14	6.61E-13		
																		4027	'DCUN1D5'	0.26	1.38E-14	6.65E-13		
																		4028	'FAM171B'	0.26	1.39E-14	6.70E-13		
																		4029	'ME2'	0.26	1.40E-14	6.73E-13		
																		4030	'USP35'	0.26	1.40E-14	6.73E-13		
																		4031	'RPS6KA4'	0.26	1.40E-14	6.74E-13		
																		4032	'BCAP31'	0.26	1.43E-14	6.85E-13		
																		4033	'LOC100130899'	0.26	1.44E-14	6.93E-13		
																		4034	'HIF1AN'	0.26	1.45E-14	6.96E-13		
																		4035	'UGCG'	0.26	1.46E-14	7.02E-13		
																		4036	'CHPT1'	0.26	1.50E-14	7.20E-13		
																		4037	'IFITM10'	0.26	1.51E-14	7.23E-13		
																		4038	'PXMP4'	0.26	1.51E-14	7.23E-13		
																		4039	'TMEM231'	0.26	1.55E-14	7.43E-13		
																		4040	'ISG20L2'	0.26	1.56E-14	7.46E-13		
																		4041	'MVP'	0.26	1.56E-14	7.47E-13		
																		4042	'KIF9-AS1'	0.26	1.57E-14	7.50E-13		
																		4043	'FAM122B'	0.26	1.57E-14	7.54E-13		
																		4044	'MPP2'	0.26	1.58E-14	7.55E-13		
																		4045	'SEPT11'	0.26	1.58E-14	7.57E-13		
																		4046	'GLYCTK'	0.26	1.62E-14	7.74E-13		
																		4047	'APPL1'	0.26	1.63E-14	7.79E-13		
																		4048	'STK4'	0.26	1.65E-14	7.90E-13		
																		4049	'GPR107'	0.26	1.66E-14	7.95E-13		
																		4050	'TUBG1'	0.26	1.67E-14	7.97E-13		
																		4051	'SDK1'	0.26	1.67E-14	7.97E-13		
																		4052	'RASSF8-AS1'	0.26	1.71E-14	8.18E-13		
																		4053	'KCTD3'	0.26	1.73E-14	8.25E-13		
																		4054	'C18orf32'	0.26	1.73E-14	8.27E-13		
																		4055	'FOXN3'	0.26	1.74E-14	8.30E-13		
																		4056	'CHDH'	0.26	1.77E-14	8.44E-13		
																		4057	'EMBP1'	0.26	1.78E-14	8.50E-13		
																		4058	'DENND1C'	0.26	1.79E-14	8.54E-13		
																		4059	'GMDS-AS1'	0.26	1.80E-14	8.57E-13		
																		4060	'GPSM1'	0.26	1.81E-14	8.62E-13		
																		4061	'FAM86DP'	0.26	1.82E-14	8.68E-13		
																		4062	'NOP2'	0.26	1.83E-14	8.72E-13		
																		4063	'ZNF397'	0.26	1.83E-14	8.73E-13		
																		4064	'GCC1'	0.26	1.85E-14	8.82E-13		
																		4065	'CXorf38'	0.26	1.86E-14	8.86E-13		
																		4066	'ERLIN1'	0.26	1.86E-14	8.87E-13		
																		4067	'CACNA2D1'	0.26	1.86E-14	8.88E-13		
																		4068	'TP53BP1'	0.26	1.87E-14	8.93E-13		
																		4069	'ZNF784'	0.26	1.88E-14	8.94E-13		
																		4070	'BOP1'	0.26	1.88E-14	8.96E-13		
																		4071	'NLRP3'	0.26	1.90E-14	9.04E-13		
																		4072	'STAT3'	0.26	1.91E-14	9.06E-13		
																		4073	'TUFM'	0.26	1.93E-14	9.19E-13		
																		4074	'PARP6'	0.26	1.94E-14	9.22E-13		
																		4075	'DCAF4'	0.26	1.94E-14	9.22E-13		
																		4076	'ANKRD13A'	0.26	1.95E-14	9.27E-13		
																		4077	'VOPP1'	0.26	2.00E-14	9.51E-13		
																		4078	'SOX6'	0.26	2.00E-14	9.52E-13		
																		4079	'C16orf70'	0.26	2.01E-14	9.53E-13		
																		4080	'ZNF318'	0.26	2.01E-14	9.54E-13		
																		4081	'IMPAD1'	0.26	2.04E-14	9.68E-13		
																		4082	'GTPBP3'	0.26	2.06E-14	9.77E-13		
																		4083	'NBAS'	0.26	2.06E-14	9.78E-13		
																		4084	'E4F1'	0.26	2.08E-14	9.86E-13		
																		4085	'MRPL11'	0.26	2.10E-14	9.95E-13		
																		4086	'SLC35F4'	0.26	2.11E-14	9.98E-13		
																		4087	'MGC72080'	0.26	2.12E-14	1.00E-12		
																		4088	'HMG20A'	0.26	2.13E-14	1.01E-12		
																		4089	'TNFSF13'	0.26	2.15E-14	1.02E-12		
																		4090	'BTBD6'	0.26	2.16E-14	1.02E-12		
																		4091	'ZNF710'	0.26	2.21E-14	1.05E-12		
																		4092	'VLDLR'	0.26	2.22E-14	1.05E-12		
																		4093	'MPST'	0.26	2.22E-14	1.05E-12		
																		4094	'RCL1'	0.26	2.26E-14	1.07E-12		
																		4095	'CCDC23'	0.26	2.26E-14	1.07E-12		
																		4096	'RBL2'	0.26	2.30E-14	1.09E-12		
																		4097	'LOC728613'	0.26	2.30E-14	1.09E-12		
																		4098	'SNX24'	0.26	2.32E-14	1.10E-12		
																		4099	'KCNB2'	0.26	2.34E-14	1.11E-12		
																		4100	'SYNGR3'	0.26	2.36E-14	1.11E-12		
																		4101	'CTNS'	0.26	2.36E-14	1.11E-12		
																		4102	'ARHGAP12'	0.26	2.39E-14	1.13E-12		
